Date,Close
2019-05-13,0.045292
2019-05-14,0.046437
2019-05-15,0.062016
2019-05-16,0.057762
2019-05-17,0.056638
2019-05-18,0.054389
2019-05-19,0.055542
2019-05-20,0.05544
2019-05-21,0.056691
2019-05-22,0.051676
2019-05-23,0.052465
2019-05-24,0.052172
2019-05-25,0.051934
2019-05-26,0.057068
2019-05-27,0.053558
2019-05-28,0.05435
2019-05-29,0.056059
2019-05-30,0.054202
2019-05-31,0.060216
2019-06-01,0.070396
2019-06-02,0.071905
2019-06-03,0.073521
2019-06-04,0.064952
2019-06-05,0.064264
2019-06-06,0.063392
2019-06-07,0.065324
2019-06-08,0.068918
2019-06-09,0.063472
2019-06-10,0.067118
2019-06-11,0.065158
2019-06-12,0.065281
2019-06-13,0.063828
2019-06-14,0.060242
2019-06-15,0.062477
2019-06-16,0.062767
2019-06-17,0.062451
2019-06-18,0.062233
2019-06-19,0.064072
2019-06-20,0.062383
2019-06-21,0.061349
2019-06-22,0.063911
2019-06-23,0.061906
2019-06-24,0.064482
2019-06-25,0.063247
2019-06-26,0.058589
2019-06-27,0.053946
2019-06-28,0.053222
2019-06-29,0.059518
2019-06-30,0.052215
2019-07-01,0.054457
2019-07-02,0.052314
2019-07-03,0.055236
2019-07-04,0.052408
2019-07-05,0.050782
2019-07-06,0.050392
2019-07-07,0.051553
2019-07-08,0.048171
2019-07-09,0.049683
2019-07-10,0.044722
2019-07-11,0.039761
2019-07-12,0.047247
2019-07-13,0.05049
2019-07-14,0.04296
2019-07-15,0.042157
2019-07-16,0.038764
2019-07-17,0.041128
2019-07-18,0.0431
2019-07-19,0.043892
2019-07-20,0.048724
2019-07-21,0.050728
2019-07-22,0.052028
2019-07-23,0.04509
2019-07-24,0.04873
2019-07-25,0.047622
2019-07-26,0.046768
2019-07-27,0.046108
2019-07-28,0.04663
2019-07-29,0.045366
2019-07-30,0.043386
2019-07-31,0.043041
2019-08-01,0.041844
2019-08-02,0.042519
2019-08-03,0.042639
2019-08-04,0.040796
2019-08-05,0.042022
2019-08-06,0.040239
2019-08-07,0.0392
2019-08-08,0.038212
2019-08-09,0.039076
2019-08-10,0.039767
2019-08-11,0.038325
2019-08-12,0.037798
2019-08-13,0.036849
2019-08-14,0.034176
2019-08-15,0.035173
2019-08-16,0.033005
2019-08-17,0.032642
2019-08-18,0.033964
2019-08-19,0.03375
2019-08-20,0.034698
2019-08-21,0.033764
2019-08-22,0.034237
2019-08-23,0.039698
2019-08-24,0.038934
2019-08-25,0.036412
2019-08-26,0.036119
2019-08-27,0.036112
2019-08-28,0.032141
2019-08-29,0.031505
2019-08-30,0.031541
2019-08-31,0.031159
2019-09-01,0.031342
2019-09-02,0.032428
2019-09-03,0.032105
