Date,Close
2019-05-13,1.01
2019-05-14,1.0
2019-05-15,1.0
2019-05-16,0.99904
2019-05-17,0.996773
2019-05-18,0.99664
2019-05-19,1.01
2019-05-20,1.0
2019-05-21,1.01
2019-05-22,1.0
2019-05-23,1.0
2019-05-24,1.0
2019-05-25,1.0
2019-05-26,1.01
2019-05-27,1.0
2019-05-28,1.0
2019-05-29,1.0
2019-05-30,1.0
2019-05-31,1.0
2019-06-01,1.0
2019-06-02,1.0
2019-06-03,0.999562
2019-06-04,0.995063
2019-06-05,1.01
2019-06-06,1.0
2019-06-07,1.01
2019-06-08,1.0
2019-06-09,1.0
2019-06-10,1.01
2019-06-11,1.01
2019-06-12,1.0
2019-06-13,1.0
2019-06-14,1.01
2019-06-15,1.01
2019-06-16,1.0
2019-06-17,1.0
2019-06-18,0.999952
2019-06-19,1.0
2019-06-20,1.0
2019-06-21,1.0
2019-06-22,0.995817
2019-06-23,0.996691
2019-06-24,0.997842
2019-06-25,0.999333
2019-06-26,0.991819
2019-06-27,0.985739
2019-06-28,1.0
2019-06-29,0.998604
2019-06-30,0.992487
2019-07-01,0.996052
2019-07-02,1.0
2019-07-03,1.01
2019-07-04,0.999929
2019-07-05,1.0
2019-07-06,0.99741
2019-07-07,1.0
2019-07-08,1.0
2019-07-09,1.0
2019-07-10,0.999782
2019-07-11,0.996514
2019-07-12,1.01
2019-07-13,0.998694
2019-07-14,0.999995
2019-07-15,1.01
2019-07-16,0.995924
2019-07-17,1.01
2019-07-18,1.01
2019-07-19,1.0
2019-07-20,1.01
2019-07-21,1.0
2019-07-22,1.0
2019-07-23,0.997631
2019-07-24,1.0
2019-07-25,1.0
2019-07-26,1.0
2019-07-27,0.998904
2019-07-28,1.0
2019-07-29,1.0
2019-07-30,1.0
2019-07-31,1.0
2019-08-01,1.01
2019-08-02,1.0
2019-08-03,1.0
2019-08-04,1.01
2019-08-05,1.01
2019-08-06,0.998211
2019-08-07,1.0
2019-08-08,0.997454
2019-08-09,0.998742
2019-08-10,0.999664
2019-08-11,0.99765
2019-08-12,0.998427
2019-08-13,0.996607
